,title,img_url,brand,price,discount_price,discount_percentage
0,TIMEWEAR Slim Series Two Hands Brown Leather Strap Anal...,https://rukminim1.flixcart.com/image/612/612/jyg5lzk0/watch/x/w/g/192wdtg-timewear-original-imafgz73f3rezkmm.jpeg?q=70,TIMEWEAR,₹337,"₹2,199",84% off
1,Bleed Blue Day and Date Functioning Strap Adult Quartz ...,https://rukminim1.flixcart.com/image/612/612/jwzabgw0/watch/c/h/g/ls2821-limestone-original-imafhjcr3xkxgqaz.jpeg?q=70,LIMESTONE,₹289,"₹1,999",85% off
2,Flynn Analog Watch  - For Men BQ1125,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/0/k/a/-original-imagphkyrrrnaryb.jpeg?q=70,FOSSIL,"₹3,848","₹10,995",65% off
3,Trending Day & Date Functioning for Boys Analog Watch  ...,https://rukminim1.flixcart.com/image/612/612/k7z3afk0/watch/t/c/x/lcs-8188-lois-caron-original-imafq3k9ztzdkyhe.jpeg?q=70,LOIS CARON,₹299,"₹1,799",83% off
4,Water Resistance Digital Watch  - For Men Brand - A Dig...,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/2/m/o/1-brand-a-digital-watch-shockproof-multi-functional-automatic-original-imagzyszhpgnc8az.jpeg?q=70,PANARS,₹230,₹999,76% off
5,Minimalists Analog Watch  - For Men 38024PP25,https://rukminim1.flixcart.com/image/612/612/ksw4ccw0/watch/6/b/c/38024pp25-fastrack-men-original-imag6cu9xkhbgz4y.jpeg?q=70,Fastrack,₹765,₹895,14% off
6,Premium Men Analog Watch  - For Men DK.1.13379-3,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/q/e/h/1-dk-1-13379-3-daniel-klein-men-original-imagzyqgrfnwb6ae.jpeg?q=70,DANIEL KLEIN,"₹3,957","₹8,000",50% off
7,Analog Watch  - For Men Combo Pack Of 2 New Arrival Bla...,https://rukminim1.flixcart.com/image/612/612/ke4kjgw0-0/watch/a/0/e/combo-pack-of-2-new-arrival-black-brown-blue-pearl-original-imafuvqwxervbztf.jpeg?q=70,Blue Pearl,₹298,"₹1,499",80% off
8,Combo Analog Watch  - For Men Abx8010-Gents Exclusive (...,https://rukminim1.flixcart.com/image/612/612/xif0q/watch/k/u/u/3-abx8010-gents-exclusive-casual-partywear-formal-designer-original-imagz2hggsymvsgp.jpeg?q=70,ABREXO,₹373,"₹3,199",88% off
9,Analog Watch  - For Men PE000017B,https://rukminim1.flixcart.com/image/612/612/kg8avm80-0/watch/f/f/3/pe000017b-peter-england-original-imafwgbuhhky2pn4.jpeg?q=70,PETER ENGLAND,"₹1,370","₹3,045",55% off
